Hardware Time,Global Time\Signal,CAN1.Diag703.Diag703_Resp_0,CAN1.Diag703.Diag703_Resp_1,CAN1.Diag703.Diag703_Resp_2,CAN1.Diag703.Diag703_Resp_3,CAN1.Diag703.Diag703_Resp_4,CAN1.Diag703.Diag703_Resp_5,CAN1.Diag703.Diag703_Resp_6,CAN1.Diag703.Diag703_Resp_7,Raw Data
470.410846,2021-05-21 22:04:50.410,42,0,0,0,25,0,0,0,CAN=470.410846 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
470.516745,2021-05-21 22:04:50.516,16,76,113,0,0,65,0,0,CAN=470.516745 Rx 0 $703 D 8 10 4C 71 00 00 41 00 00 
470.517729,2021-05-21 22:04:50.517,33,0,0,0,0,0,0,36,CAN=470.517729 Rx 0 $703 D 8 21 00 00 00 00 00 00 24 
470.567834,2021-05-21 22:04:50.567,34,0,0,0,29,49,0,0,CAN=470.567834 Rx 0 $703 D 8 22 00 00 00 1D 31 00 00 
470.618823,2021-05-21 22:04:50.618,35,26,49,0,0,11,49,0,CAN=470.618823 Rx 0 $703 D 8 23 1A 31 00 00 0B 31 00 
470.669824,2021-05-21 22:04:50.669,36,0,219,48,0,0,224,48,CAN=470.669824 Rx 0 $703 D 8 24 00 DB 30 00 00 E0 30 
470.720822,2021-05-21 22:04:50.720,37,0,0,234,48,0,0,25,CAN=470.720822 Rx 0 $703 D 8 25 00 00 EA 30 00 00 19 
470.771821,2021-05-21 22:04:50.771,38,0,0,0,25,0,0,0,CAN=470.771821 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
470.822813,2021-05-21 22:04:50.822,39,25,0,0,0,151,5,0,CAN=470.822813 Rx 0 $703 D 8 27 19 00 00 00 97 05 00 
470.873811,2021-05-21 22:04:50.873,40,0,151,5,0,0,150,5,CAN=470.873811 Rx 0 $703 D 8 28 00 97 05 00 00 96 05 
470.924808,2021-05-21 22:04:50.924,41,0,0,25,0,0,0,25,CAN=470.924808 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
470.975809,2021-05-21 22:04:50.975,42,0,0,0,25,0,0,0,CAN=470.975809 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
471.0815,2021-05-21 22:04:51.081,16,76,113,0,0,65,0,0,CAN=471.0815 Rx 0 $703 D 8 10 4C 71 00 00 41 00 00 
471.082717,2021-05-21 22:04:51.082,33,0,0,0,0,0,0,36,CAN=471.082717 Rx 0 $703 D 8 21 00 00 00 00 00 00 24 
471.132796,2021-05-21 22:04:51.132,34,0,0,0,21,49,0,0,CAN=471.132796 Rx 0 $703 D 8 22 00 00 00 15 31 00 00 
471.183785,2021-05-21 22:04:51.183,35,30,49,0,0,13,49,0,CAN=471.183785 Rx 0 $703 D 8 23 1E 31 00 00 0D 31 00 
471.234789,2021-05-21 22:04:51.234,36,0,224,48,0,0,224,48,CAN=471.234789 Rx 0 $703 D 8 24 00 E0 30 00 00 E0 30 
471.285782,2021-05-21 22:04:51.285,37,0,0,233,48,0,0,25,CAN=471.285782 Rx 0 $703 D 8 25 00 00 E9 30 00 00 19 
471.336783,2021-05-21 22:04:51.336,38,0,0,0,25,0,0,0,CAN=471.336783 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
471.387774,2021-05-21 22:04:51.387,39,25,0,0,0,151,5,0,CAN=471.387774 Rx 0 $703 D 8 27 19 00 00 00 97 05 00 
471.438771,2021-05-21 22:04:51.438,40,0,151,5,0,0,150,5,CAN=471.438771 Rx 0 $703 D 8 28 00 97 05 00 00 96 05 
471.48977,2021-05-21 22:04:51.489,41,0,0,25,0,0,0,25,CAN=471.48977 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
471.54077,2021-05-21 22:04:51.540,42,0,0,0,25,0,0,0,CAN=471.54077 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
474.751254,2021-05-21 22:04:54.751,16,76,113,0,0,65,0,0,CAN=474.751254 Rx 0 $703 D 8 10 4C 71 00 00 41 00 00 
